id,conversation_id,referenced_tweets.replied_to.id,referenced_tweets.retweeted.id,referenced_tweets.quoted.id,author_id,in_reply_to_user_id,retweeted_user_id,quoted_user_id,created_at,text,lang,source,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,reply_settings,possibly_sensitive,withheld.scope,withheld.copyright,withheld.country_codes,entities.annotations,entities.cashtags,entities.hashtags,entities.mentions,entities.urls,context_annotations,attachments.media,attachments.media_keys,attachments.poll.duration_minutes,attachments.poll.end_datetime,attachments.poll.id,attachments.poll.options,attachments.poll.voting_status,attachments.poll_ids,author.id,author.created_at,author.username,author.name,author.description,author.entities.description.cashtags,author.entities.description.hashtags,author.entities.description.mentions,author.entities.description.urls,author.entities.url.urls,author.location,author.pinned_tweet_id,author.profile_image_url,author.protected,author.public_metrics.followers_count,author.public_metrics.following_count,author.public_metrics.listed_count,author.public_metrics.tweet_count,author.url,author.verified,author.withheld.scope,author.withheld.copyright,author.withheld.country_codes,geo.coordinates.coordinates,geo.coordinates.type,geo.country,geo.country_code,geo.full_name,geo.geo.bbox,geo.geo.type,geo.id,geo.name,geo.place_id,geo.place_type,__twarc.retrieved_at,__twarc.url,__twarc.version,
1212161473348276225,1212161473348276225,,1212155549967478784,,163747660,,863201160009621504,,2019-12-31T23:59:50.000Z,"@rickjdon 3. Intent-Based Networking with Batfish on Software Gone Wild with @fooelisa, @ioshints,  @netmanchris, and @_ipengineer\nhttps://t.co/HGInxZOdNj",en,Twitter for iPhone,4,0,0,2,everyone,False,,,,"[{""start"": 42, ""end"": 48, ""probability"": 0.358, ""type"": ""Organization"", ""normalized_text"": ""Batfish""}]",,,"[{""start"": 0, ""end"": 9, ""username"": ""rickjdon"", ""id"": ""242525782"", ""name"": ""Rick Donato"", ""url"": ""https://t.co/2NCFH08SZh"", ""entities"": {""url"": {""urls"": [{""start"": 0, ""end"": 23, ""url"": ""https://t.co/2NCFH08SZh"", ""expanded_url"": ""https://www.packetcoders.io"", ""display_url"": ""packetcoders.io""}]}, ""description"": {""mentions"": [{""start"": 11, ""end"": 24, ""username"": ""packetcoders""}]}}, ""location"": ""England, United Kingdom"", ""verified"": false, ""description"": ""Founder of @packetcoders | Network Automation Architect/Evangelist | Coffee Addict"", ""protected"": false, ""created_at"": ""2011-01-25T00:15:13.000Z"", ""public_metrics"": {""followers_count"": 2095, ""following_count"": 1086, ""tweet_count"": 2896, ""listed_count"": 39}, ""profile_image_url"": ""https://pbs.twimg.com/profile_images/1412368192551501828/NBHL_x4j_normal.jpg""}, {""start"": 77, ""end"": 86, ""username"": ""fooelisa"", ""id"": ""136219792"", ""name"": ""elisa"", ""url"": ""https://t.co/UlX829ws2f"", ""entities"": {""url"": {""urls"": [{""start"": 0, ""end"": 23, ""url"": ""https://t.co/UlX829ws2f"", ""expanded_url"": ""http://dyinggiraffe.org/"", ""display_url"": ""dyinggiraffe.org""}]}, ""description"": {""mentions"": [{""start"": 62, ""end"": 72, ""username"": ""bigwaveit""}, {""start"": 88, ""end"": 98, ""username"": ""symatenka""}]}}, ""location"": ""Krakow, Poland"", ""verified"": false, ""description"": ""explore * dream * discover | networking geek and python coder @bigwaveit | hobby sailor @symatenka"", ""protected"": false, ""created_at"": ""2010-04-23T09:58:39.000Z"", ""public_metrics"": {""followers_count"": 574, ""following_count"": 139, ""tweet_count"": 384, ""listed_count"": 17}, ""profile_image_url"": ""https://pbs.twimg.com/profile_images/747475790292488192/HxQTfW9N_normal.jpg""}, {""start"": 88, ""end"": 97, ""username"": ""ioshints"", ""id"": ""17092977"", ""name"": ""Ivan Pepelnjak"", ""url"": ""http://t.co/CIpyFgeES4"", ""entities"": {""url"": {""urls"": [{""start"": 0, ""end"": 22, ""url"": ""http://t.co/CIpyFgeES4"", ""expanded_url"": ""http://www.ipspace.net/About"", ""display_url"": ""ipspace.net/About""}]}}, ""verified"": false, ""description"": ""Bridging the Gap since BGPv3"", ""protected"": false, ""created_at"": ""2008-10-31T21:32:14.000Z"", ""public_metrics"": {""followers_count"": 22228, ""following_count"": 369, ""tweet_count"": 12815, ""listed_count"": 516}, ""profile_image_url"": ""https://pbs.twimg.com/profile_images/3078737666/c2255e300b1834c42b035afd6692b30a_normal.jpeg""}, {""start"": 100, ""end"": 112, ""username"": ""netmanchris"", ""id"": ""163747660"", ""name"": ""Chris Young \ud83c\udde8\ud83c\udde6 @ Home"", ""url"": ""https://t.co/siKwqAhIMt"", ""entities"": {""url"": {""urls"": [{""start"": 0, ""end"": 23, ""url"": ""https://t.co/siKwqAhIMt"", ""expanded_url"": ""http://www.kontrolissues.net"", ""display_url"": ""kontrolissues.net""}]}}, ""pinned_tweet_id"": ""975392377136402432"", ""location"": ""http://www.homekitgeek.com"", ""verified"": false, ""description"": ""Networking Professional. Python, Home Automation. ExHPE/Aruba. Zscaler is day job. this is not that. I claim the views. The snark I will share"", ""protected"": false, ""created_at"": ""2010-07-07T05:01:53.000Z"", ""public_metrics"": {""followers_count"": 3250, ""following_count"": 2710, ""tweet_count"": 15132, ""listed_count"": 116}, ""profile_image_url"": ""https://pbs.twimg.com/profile_images/1217133883998773248/N2O4h41-_normal.jpg""}]","[{""start"": 131, ""end"": 154, ""url"": ""https://t.co/HGInxZOdNj"", ""expanded_url"": ""https://blog.ipspace.net/2019/09/intent-based-networking-with-batfish-on.html"", ""display_url"": ""blog.ipspace.net/2019/09/intent\u2026"", ""status"": 200, ""unwound_url"": ""https://blog.ipspace.net/2019/09/intent-based-networking-with-batfish-on.html""}]",,,,,,,,,,163747660,2010-07-07T05:01:53.000Z,netmanchris,Chris Young 🇨🇦 @ Home,"Networking Professional. Python, Home Automation. ExHPE/Aruba. Zscaler is day job. this is not that. I claim the views. The snark I will share",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/siKwqAhIMt"", ""expanded_url"": ""http://www.kontrolissues.net"", ""display_url"": ""kontrolissues.net""}]",http://www.homekitgeek.com,975392377136402432,https://pbs.twimg.com/profile_images/1217133883998773248/N2O4h41-_normal.jpg,False,3250,2710,116,15132,https://t.co/siKwqAhIMt,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161376455659529,1212161376455659529,,,,1553412146,,,,2019-12-31T23:59:27.000Z,":::THANK YOU 2019:::☀️🌷🌹🌺🌸🌻🍃👑💕✨ And then... there was our baby... Unwine in Style 2019!!! This was Our 4th Annual “Unwine in Style” Fashion Networking Event! 2019, you tried to take us out at the end of the year.… https://t.co/rhFNIZbGk6",en,Instagram,0,0,0,0,everyone,False,,,,,,,,"[{""start"": 214, ""end"": 237, ""url"": ""https://t.co/rhFNIZbGk6"", ""expanded_url"": ""https://www.instagram.com/p/B6wZCK8hlqi/?igshid=14jgskafk6kvh"", ""display_url"": ""instagram.com/p/B6wZCK8hlqi/\u2026""}]",,,,,,,,,,1553412146,2013-06-28T15:53:58.000Z,EdwinaLaShan,Edwina LaShan Blog,Two sisters who have a love for fashion and are sharing their knowledge with the world !,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/galtzrf0dZ"", ""expanded_url"": ""http://www.edwinalashan.com"", ""display_url"": ""edwinalashan.com""}]",,,https://pbs.twimg.com/profile_images/1326556092135071745/OxO1MXqA_normal.jpg,False,194,190,36,33343,https://t.co/galtzrf0dZ,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161302363279360,1212161302363279360,,,,1553412146,,,,2019-12-31T23:59:10.000Z,":::THANK YOU 2019:::☀️🌷🌹🌺🌸🌻🍃👑💕✨ And then... there was our baby... Unwine in Style 2019!!! This was Our 4th Annual “Unwine in Style” Fashion Networking Event! 2019, you tried to take us out at the end of the year. But… https://t.co/iyo4eEIH2y",en,Instagram,0,0,0,0,everyone,False,,,,,,,,"[{""start"": 218, ""end"": 241, ""url"": ""https://t.co/iyo4eEIH2y"", ""expanded_url"": ""https://www.instagram.com/p/B6wZAHRhffx/?igshid=150pahta4qya"", ""display_url"": ""instagram.com/p/B6wZAHRhffx/\u2026""}]",,,,,,,,,,1553412146,2013-06-28T15:53:58.000Z,EdwinaLaShan,Edwina LaShan Blog,Two sisters who have a love for fashion and are sharing their knowledge with the world !,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/galtzrf0dZ"", ""expanded_url"": ""http://www.edwinalashan.com"", ""display_url"": ""edwinalashan.com""}]",,,https://pbs.twimg.com/profile_images/1326556092135071745/OxO1MXqA_normal.jpg,False,194,190,36,33343,https://t.co/galtzrf0dZ,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161233660653574,1212161233660653574,,,,1553412146,,,,2019-12-31T23:58:53.000Z,":::THANK YOU 2019:::☀️🌷🌹🌺🌸🌻🍃👑💕✨ And then... there was our baby... Unwine in Style 2019!!! This was Our 4th Annual “Unwine in Style” Fashion Networking Event! 2019, you tried to take us out at the end of the year. But… https://t.co/cEWl5IHjP6",en,Instagram,0,0,0,0,everyone,False,,,,,,,,"[{""start"": 218, ""end"": 241, ""url"": ""https://t.co/cEWl5IHjP6"", ""expanded_url"": ""https://www.instagram.com/p/B6wY-J-BOTR/?igshid=8od6n3imtuc1"", ""display_url"": ""instagram.com/p/B6wY-J-BOTR/\u2026""}]",,,,,,,,,,1553412146,2013-06-28T15:53:58.000Z,EdwinaLaShan,Edwina LaShan Blog,Two sisters who have a love for fashion and are sharing their knowledge with the world !,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/galtzrf0dZ"", ""expanded_url"": ""http://www.edwinalashan.com"", ""display_url"": ""edwinalashan.com""}]",,,https://pbs.twimg.com/profile_images/1326556092135071745/OxO1MXqA_normal.jpg,False,194,190,36,33343,https://t.co/galtzrf0dZ,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161191545622529,1212161191545622529,,,,1553412146,,,,2019-12-31T23:58:43.000Z,":::THANK YOU 2019:::☀️🌷🌹🌺🌸🌻🍃👑💕✨ And then... there was our baby... Unwine in Style 2019!!! This was Our 4th Annual “Unwine in Style” Fashion Networking Event! 2019, you tried to take us out at the end of the year.… https://t.co/qH0zMfEP0l",en,Instagram,0,0,0,0,everyone,False,,,,,,,,"[{""start"": 214, ""end"": 237, ""url"": ""https://t.co/qH0zMfEP0l"", ""expanded_url"": ""https://www.instagram.com/p/B6wY8vSh_dx/?igshid=1idmc2nj2q1c8"", ""display_url"": ""instagram.com/p/B6wY8vSh_dx/\u2026""}]",,,,,,,,,,1553412146,2013-06-28T15:53:58.000Z,EdwinaLaShan,Edwina LaShan Blog,Two sisters who have a love for fashion and are sharing their knowledge with the world !,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/galtzrf0dZ"", ""expanded_url"": ""http://www.edwinalashan.com"", ""display_url"": ""edwinalashan.com""}]",,,https://pbs.twimg.com/profile_images/1326556092135071745/OxO1MXqA_normal.jpg,False,194,190,36,33343,https://t.co/galtzrf0dZ,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161134943444992,1212161134943444992,,,,1553412146,,,,2019-12-31T23:58:30.000Z,":::THANK YOU 2019:::☀️🌷🌹🌺🌸🌻🍃👑💕✨ And then... there was our baby... Unwine in Style 2019!!! This was Our 4th Annual “Unwine in Style” Fashion Networking Event! 2019, you tried to take us out at the end of the year. But… https://t.co/udfDjTF0jf",en,Instagram,0,0,0,0,everyone,False,,,,,,,,"[{""start"": 218, ""end"": 241, ""url"": ""https://t.co/udfDjTF0jf"", ""expanded_url"": ""https://www.instagram.com/p/B6wY7MSBwNL/?igshid=dtezs450aq60"", ""display_url"": ""instagram.com/p/B6wY7MSBwNL/\u2026""}]",,,,,,,,,,1553412146,2013-06-28T15:53:58.000Z,EdwinaLaShan,Edwina LaShan Blog,Two sisters who have a love for fashion and are sharing their knowledge with the world !,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/galtzrf0dZ"", ""expanded_url"": ""http://www.edwinalashan.com"", ""display_url"": ""edwinalashan.com""}]",,,https://pbs.twimg.com/profile_images/1326556092135071745/OxO1MXqA_normal.jpg,False,194,190,36,33343,https://t.co/galtzrf0dZ,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161116945686528,1212161116945686528,,1212158945403363329,,22675424,,1062433690704211969,,2019-12-31T23:58:25.000Z,Who is going to be at CES next week? I’d love to see you at the WiCT networking event! https://t.co/2xe99U23wM #ces #cedia #control4 #homeautomation #smarthome #nkba #smarthomedesign #c4yourself #designtechconnection  #iot #asid #ids #technologynews #womenintech,en,Twitter for iPad,7,1,2,1,everyone,False,,,,"[{""start"": 22, ""end"": 24, ""probability"": 0.3642, ""type"": ""Place"", ""normalized_text"": ""CES""}]",,"[{""start"": 111, ""end"": 115, ""tag"": ""ces""}, {""start"": 116, ""end"": 122, ""tag"": ""cedia""}, {""start"": 123, ""end"": 132, ""tag"": ""control4""}, {""start"": 133, ""end"": 148, ""tag"": ""homeautomation""}, {""start"": 149, ""end"": 159, ""tag"": ""smarthome""}, {""start"": 160, ""end"": 165, ""tag"": ""nkba""}, {""start"": 166, ""end"": 182, ""tag"": ""smarthomedesign""}, {""start"": 183, ""end"": 194, ""tag"": ""c4yourself""}, {""start"": 195, ""end"": 216, ""tag"": ""designtechconnection""}, {""start"": 218, ""end"": 222, ""tag"": ""iot""}, {""start"": 223, ""end"": 228, ""tag"": ""asid""}, {""start"": 229, ""end"": 233, ""tag"": ""ids""}, {""start"": 234, ""end"": 249, ""tag"": ""technologynews""}, {""start"": 250, ""end"": 262, ""tag"": ""womenintech""}]",,"[{""start"": 87, ""end"": 110, ""url"": ""https://t.co/2xe99U23wM"", ""expanded_url"": ""https://www.residentialsystems.com/events/ces/wict-wednesdays-danielle-karr"", ""display_url"": ""residentialsystems.com/events/ces/wic\u2026"", ""status"": 200, ""unwound_url"": ""https://www.residentialsystems.com/events/ces/wict-wednesdays-danielle-karr""}]","[{""domain"": {""id"": ""29"", ""name"": ""Events [Entity Service]"", ""description"": ""Entity Service related Events domain""}, ""entity"": {""id"": ""1195714061356322817"", ""name"": ""CES 2020""}}, {""domain"": {""id"": ""30"", ""name"": ""Entities [Entity Service]"", ""description"": ""Entity Service top level domain, every item that is in Entity Service should be in this domain""}, ""entity"": {""id"": ""848920371311001600"", ""name"": ""Technology"", ""description"": ""Technology and computing""}}, {""domain"": {""id"": ""66"", ""name"": ""Interests and Hobbies Category"", ""description"": ""A grouping of interests and hobbies entities, like Novelty Food or Destinations""}, ""entity"": {""id"": ""898657691010191360"", ""name"": ""Internet of things"", ""description"": ""Internet of Things""}}]",,,,,,,,,22675424,2009-03-03T20:40:38.000Z,vacajun,𝙼𝚒𝚌𝚑𝚎𝚕𝚕𝚎 𝙻𝚘𝚛𝚎𝚝 (𝕤𝕙𝕖/𝕙𝕖𝕣) 🇺🇦,🇺🇦Living rent free in other people’s minds. 🤠 Coined the terms ‘AVadjacent’ #AVBrits 🇬🇧 & #AVTweepsForever 💕Podcaster 🎙 Dog lover 🐶 Rodeo 🐄,,"[{""start"": 76, ""end"": 84, ""tag"": ""AVBrits""}, {""start"": 90, ""end"": 106, ""tag"": ""AVTweepsForever""}]",,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/G0903VRL7O"", ""expanded_url"": ""http://www.mostlyav.com"", ""display_url"": ""mostlyav.com""}]","Houston, TX",1192589408232525830,https://pbs.twimg.com/profile_images/1526387315182026752/dwpjDmc9_normal.jpg,False,2391,2644,23,32995,https://t.co/G0903VRL7O,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
1212161089569509376,1212161089569509376,,,,1553412146,,,,2019-12-31T23:58:19.000Z,":::THANK YOU 2019:::☀️🌷🌹🌺🌸🌻🍃👑💕✨ And then... there was our baby... Unwine in Style 2019!!! This was Our 4th Annual “Unwine in Style” Fashion Networking Event! 2019, you tried to take us out at the end of the year. But… https://t.co/MupdAmWLwi",en,Instagram,0,0,0,0,everyone,False,,,,,,,,"[{""start"": 218, ""end"": 241, ""url"": ""https://t.co/MupdAmWLwi"", ""expanded_url"": ""https://www.instagram.com/p/B6wY52ohi-0/?igshid=g3r9gw2qtph3"", ""display_url"": ""instagram.com/p/B6wY52ohi-0/\u2026""}]",,,,,,,,,,1553412146,2013-06-28T15:53:58.000Z,EdwinaLaShan,Edwina LaShan Blog,Two sisters who have a love for fashion and are sharing their knowledge with the world !,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/galtzrf0dZ"", ""expanded_url"": ""http://www.edwinalashan.com"", ""display_url"": ""edwinalashan.com""}]",,,https://pbs.twimg.com/profile_images/1326556092135071745/OxO1MXqA_normal.jpg,False,194,190,36,33343,https://t.co/galtzrf0dZ,False,,,,,,,,,,,,,,,2022-06-16T21:29:36+00:00,https://api.twitter.com/2/tweets/search/all?expansions=author_id%2Cin_reply_to_user_id%2Creferenced_tweets.id%2Creferenced_tweets.id.author_id%2Centities.mentions.username%2Cattachments.poll_ids%2Cattachments.media_keys%2Cgeo.place_id&tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&media.fields=alt_text%2Cduration_ms%2Cheight%2Cmedia_key%2Cpreview_image_url%2Ctype%2Curl%2Cwidth%2Cpublic_metrics&poll.fields=duration_minutes%2Cend_datetime%2Cid%2Coptions%2Cvoting_status&place.fields=contained_within%2Ccountry%2Ccountry_code%2Cfull_name%2Cgeo%2Cid%2Cname%2Cplace_type&start_time=2019-01-01T00%3A00%3A00%2B00%3A00&end_time=2020-01-01T00%3A00%3A00%2B00%3A00&query=%28speedtest%29+OR+%28ookla%29+OR+%28networking%29&max_results=10,2.10.4,
